Kigezruk Creek|stream|SRID=4269;POINT(-167.74056 65.50889)
Killian Creek|stream|SRID=4269;POINT(-159.06333 59.3125)
Killik Bend|bend|SRID=4269;POINT(-153.95306 68.98472)
Killik River|stream|SRID=4269;POINT(-153.90972 69.00722)
Killinupak Mountain|summit|SRID=4269;POINT(-165.13444 60.63806)
Kilimantavi (historical)|populated place|SRID=4269;POINT(-160.42917 70.48278)
Kilo Hot Spring|spring|SRID=4269;POINT(-151.235 65.81028)
Kiloknak Lagoon|lake|SRID=4269;POINT(-168.82667 63.17083)
Kilokuyak Creek|stream|SRID=4269;POINT(-161.00472 59.69722)
Kilusiktok Creek|stream|SRID=4269;POINT(-159.6775 65.20778)
Kilusiktok Lake|lake|SRID=4269;POINT(-157.05934 70.9721)
Kimball Glacier|glacier|SRID=4269;POINT(-144.62083 63.27222)
Kimball Pass|gap|SRID=4269;POINT(-145.045 61.50972)
Mount Kimball|summit|SRID=4269;POINT(-144.64167 63.23889)
Kimbley Creek|stream|SRID=4269;POINT(-156.09111 63.44306)
Kimijooksuk Butte|summit|SRID=4269;POINT(-166.18 60.1875)
Kimijooksuk Buttes|summit|SRID=4269;POINT(-166.33111 60.26333)
Kimikpak Ridge|ridge|SRID=4269;POINT(-153.73139 69.2125)
Kimikpaurauk River|stream|SRID=4269;POINT(-142.58333 69.96083)
Kimiksthek Hill|summit|SRID=4269;POINT(-167.03444 60.10528)
Kimikthak Hills|range|SRID=4269;POINT(-166.17556 60.35556)
Kimit Hills|range|SRID=4269;POINT(-166.49139 60.20722)
Kimixthoruk Hill|summit|SRID=4269;POINT(-166.9875 60.21444)
Kimouksik Lake|lake|SRID=4269;POINT(-156.59604 71.1228)
Kinak (historical)|populated place|SRID=4269;POINT(-164.05694 60.02056)
Kinak (historical)|populated place|SRID=4269;POINT(-162.50333 60.35833)
Kinak Bay|bay|SRID=4269;POINT(-154.43444 58.12861)
Kinak Bay|bay|SRID=4269;POINT(-164.29528 60.01194)
Kinak River|stream|SRID=4269;POINT(-162.54111 60.31556)
Kinak River|stream|SRID=4269;POINT(-164.13139 59.98917)
Kinaruk Lake|lake|SRID=4269;POINT(-164.26472 60.55028)
Kindanina Lake|lake|SRID=4269;POINT(-150.46979 64.75889)
Kineeghit Point|cape|SRID=4269;POINT(-170.70028 63.65)
Kinegnak|populated place|SRID=4269;POINT(-161.66222 58.83111)
Kinegnak River|stream|SRID=4269;POINT(-161.68 58.82056)
King City|locale|SRID=4269;POINT(-141.76611 62.3225)
King Cove|bay|SRID=4269;POINT(-152.03611 58.19778)
King Creek|stream|SRID=4269;POINT(-161.87361 61.87111)
King Creek|stream|SRID=4269;POINT(-153.77056 63.43028)
King Creek|stream|SRID=4269;POINT(-144.27278 64.35778)
King Creek|stream|SRID=4269;POINT(-149.26167 67.4575)
King Creek|stream|SRID=4269;POINT(-141.41139 64.38889)
King Creek|stream|SRID=4269;POINT(-146.11028 65.19917)
King Creek|stream|SRID=4269;POINT(-149.99667 67.655)
King Island|island|SRID=4269;POINT(-168.05972 64.975)
King Mountain|summit|SRID=4269;POINT(-165.33583 64.59611)
King Mountain|summit|SRID=4269;POINT(-163.55194 64.97972)
King River|stream|SRID=4269;POINT(-167.40222 65.40361)
King Salmon|populated place|SRID=4269;POINT(-156.66139 58.68833)
King Salmon Bay|bay|SRID=4269;POINT(-134.30417 58.03111)
King Salmon Creek|stream|SRID=4269;POINT(-156.7075 58.6875)
King Salmon Creek|stream|SRID=4269;POINT(-157.15944 58.86222)
King Salmon Island|island|SRID=4269;POINT(-157.33556 58.22889)
King Salmon River|stream|SRID=4269;POINT(-134.34083 58.04194)
King Salmon River|stream|SRID=4269;POINT(-157.32889 58.22389)
King Salmon River|stream|SRID=4269;POINT(-157.28167 60.2575)
King Salmon River|stream|SRID=4269;POINT(-157.64167 57.49722)
King Solomon Creek|stream|SRID=4269;POINT(-141.19278 64.49111)
Kingaglia Lake|lake|SRID=4269;POINT(-163.61121 61.58712)
Kingak Cliff|cliff|SRID=4269;POINT(-144.52722 69.56694)
Kingak Hill|summit|SRID=4269;POINT(-144.37417 69.58528)
Kingak Mountain|summit|SRID=4269;POINT(-156.39889 68.70278)
Kingaktakamiut|locale|SRID=4269;POINT(-166.14167 59.82111)
Kingasivik Mountains|range|SRID=4269;POINT(-160.15889 68.17917)
Kingaviksak Mountain|summit|SRID=4269;POINT(-161.28167 68.41278)
Wales|populated place|SRID=4269;POINT(-168.0875 65.60917)
Kingfisher Creek|stream|SRID=4269;POINT(-148.89083 63.74028)
Kingmetolik Creek|stream|SRID=4269;POINT(-160.205 64.68722)
Kingokakthluk Lake|lake|SRID=4269;POINT(-165.10948 61.74211)
Kings Creek|stream|SRID=4269;POINT(-144.06389 61.63806)
Kings River|stream|SRID=4269;POINT(-148.75361 61.73306)
Kings Slough|stream|SRID=4269;POINT(-148.40917 66.20611)
Kings Slough Island|island|SRID=4269;POINT(-148.35917 66.21417)
Kings Slough Village|locale|SRID=4269;POINT(-148.30417 66.19083)
Kingsley Creek|stream|SRID=4269;POINT(-164.03778 65.10333)
Kinia River|stream|SRID=4269;POINT(-164.49889 60.18)
Kiniklik (historical)|populated place|SRID=4269;POINT(-147.6275 60.84833)
Kinipaghulghat Mountains|range|SRID=4269;POINT(-168.96861 63.22917)
Kinkaid Creek|stream|SRID=4269;POINT(-156.93556 64.64861)
Kinnorutin Creek|stream|SRID=4269;POINT(-150.23528 67.92861)
Kinnorutin Pass|gap|SRID=4269;POINT(-150.35444 67.91222)
Kinshuda Hill|summit|SRID=4269;POINT(-142.47972 62.89833)
Kintanga Bay|bay|SRID=4269;POINT(-169.79 63.43694)
Kintanga Point|cape|SRID=4269;POINT(-169.89833 63.45306)
Kiokluk Creek|stream|SRID=4269;POINT(-158.19417 61.36583)
Kiokluk Mountains|ridge|SRID=4269;POINT(-158.07861 61.23083)
Kiolik Hill|summit|SRID=4269;POINT(-166.49472 60.29028)
Lake Kiowa|lake|SRID=4269;POINT(-149.67213 61.29795)
Kipchuk River|stream|SRID=4269;POINT(-159.1725 61.04556)
Kipniarak River|stream|SRID=4269;POINT(-164.31778 61.97944)
Kipniyagok River|stream|SRID=4269;POINT(-165.33278 62.33444)
Kipnuk|populated place|SRID=4269;POINT(-164.04139 59.93889)
Kipnuktuli Creek|stream|SRID=4269;POINT(-159.74917 59.52333)
Kipungolak River|stream|SRID=4269;POINT(-164.35278 61.97639)
Kiruktagiak River|stream|SRID=4269;POINT(-152.32861 68.73806)
Kisaralik Lake|lake|SRID=4269;POINT(-159.34196 60.32248)
Kisaralik River|stream|SRID=4269;POINT(-161.2375 60.85806)
Kishbrock Island|island|SRID=4269;POINT(-134.79278 58.49194)
Kisimilok Creek|stream|SRID=4269;POINT(-165.49028 68.05944)
Kisimilok Mountain|summit|SRID=4269;POINT(-165.43583 68.05722)
Kisogle Mountain|summit|SRID=4269;POINT(-161.22583 59.41028)
Kit Island|island|SRID=4269;POINT(-154.92139 64.89611)
Kitalitna Creek|stream|SRID=4269;POINT(-154.73583 65.76028)
Kitkonak Hill|summit|SRID=4269;POINT(-165.27611 68.82389)
Newton Creek|stream|SRID=4269;POINT(-165.75361 65.52417)
Newton Gulch|valley|SRID=4269;POINT(-165.32361 64.535)
Newton Peak|summit|SRID=4269;POINT(-165.31806 64.56)
Niagara Creek|stream|SRID=4269;POINT(-164.64028 65.42056)
Niakogon Buttes|summit|SRID=4269;POINT(-151.68528 69.02444)
Niakogon Mountain|summit|SRID=4269;POINT(-153.05583 68.88389)
Mount Niaktuvik|summit|SRID=4269;POINT(-165.84917 68.48972)
Nichawak Mountain|summit|SRID=4269;POINT(-143.97694 60.23333)
Nichenthraw Mountain|summit|SRID=4269;POINT(-145.37111 68.40083)
Nichols Hills|range|SRID=4269;POINT(-158.78528 58.56278)
Nichols Spit|bar|SRID=4269;POINT(-158.77028 58.57639)
Nicholson Lake|lake|SRID=4269;POINT(-146.92824 62.22556)
Nickel Creek|stream|SRID=4269;POINT(-145.68139 62.07861)
Nickle Creek|stream|SRID=4269;POINT(-165.95667 65.38139)
Nickle Creek|stream|SRID=4269;POINT(-166.52861 65.13528)
Nickoli Lake|lake|SRID=4269;POINT(-146.60139 62.07325)
Nicolie Creek|stream|SRID=4269;POINT(-147.1975 62.18833)
Nigag Mountain|summit|SRID=4269;POINT(-160.48361 59.57861)
Nigaktoviakvik Creek|stream|SRID=4269;POINT(-154.05389 68.28139)
Nigaktukvik Creek|stream|SRID=4269;POINT(-154.11611 68.19722)
Nigatuk Creek|stream|SRID=4269;POINT(-156.64472 65.45111)
Negrohead Creek|stream|SRID=4269;POINT(-150.06667 65.05972)
Nightmute|populated place|SRID=4269;POINT(-164.72389 60.47944)
Nigikmigoon River|stream|SRID=4269;POINT(-160.46111 65.08194)
Nigiktlik Creek|stream|SRID=4269;POINT(-165.45639 68.7525)
Nigisaktuvik River|stream|SRID=4269;POINT(-157.51889 70.5475)
Nigtun Lake|lake|SRID=4269;POINT(-156.8807 68.22299)
Nigu Bluff|summit|SRID=4269;POINT(-156.3725 68.485)
Nigu Hills|range|SRID=4269;POINT(-156.53778 68.38306)
Niguanak Ridge|ridge|SRID=4269;POINT(-143.21611 69.95417)
Niguanak River|stream|SRID=4269;POINT(-142.98194 70.06694)
Niitltoktalogi Mountain|summit|SRID=4269;POINT(-153.72778 66.44361)
Nikabuna|lake|SRID=4269;POINT(-155.43458 60.10463)
Nikadavna Creek|stream|SRID=4269;POINT(-155.47 60.45889)
Niklavik Creek|stream|SRID=4269;POINT(-156.96 70.86917)
Niklavik Creek|stream|SRID=4269;POINT(-162.61417 69.75361)
Nikolai|populated place|SRID=4269;POINT(-154.375 63.01333)
Nikolai (historical)|locale|SRID=4269;POINT(-154.16806 62.96806)
Nikolai Butte|summit|SRID=4269;POINT(-142.455 61.37833)
Nikolai Cove|bay|SRID=4269;POINT(-158.15583 56.22333)
Nikolai Creek|stream|SRID=4269;POINT(-142.77444 61.44528)
Nikolai Gulch|valley|SRID=4269;POINT(-142.47861 61.37167)
Nikolai Mine|mine|SRID=4269;POINT(-142.67611 61.46389)
Nikolai Pass|gap|SRID=4269;POINT(-142.65333 61.43444)
Nikolai Slough|gut|SRID=4269;POINT(-157.10417 64.95583)
Nikonda Creek|stream|SRID=4269;POINT(-142.85972 62.1875)
Nikonda Glacier|glacier|SRID=4269;POINT(-142.73889 62.055)
Nil Desperandum Gulch|valley|SRID=4269;POINT(-165.23889 64.55417)
Nilik River|stream|SRID=4269;POINT(-165.20389 68.50694)
Nilikluguk|locale|SRID=4269;POINT(-165.1475 60.65194)
Nililak|populated place|SRID=4269;POINT(-164.78583 62.58917)
Nililak Point|cape|SRID=4269;POINT(-164.84278 62.54444)
Nimgun Creek|stream|SRID=4269;POINT(-160.78306 59.45056)
Nimgun Lake|lake|SRID=4269;POINT(-160.76691 59.56018)
Nimiuktuk River|stream|SRID=4269;POINT(-159.935 68.11667)
Nimkai Mountain|summit|SRID=4269;POINT(-160.9175 59.57194)
Nimrod Peak|summit|SRID=4269;POINT(-141.06639 65.06806)
Nimwutik Creek|stream|SRID=4269;POINT(-161.22528 68.94861)
Nin Ridge|ridge|SRID=4269;POINT(-151.88667 62.1625)
Ninagiak Island|island|SRID=4269;POINT(-153.99917 58.45667)
Ninagiak River|stream|SRID=4269;POINT(-154.0825 58.48806)
Nine Pup|stream|SRID=4269;POINT(-144.93556 65.45722)
Ninemile Cabin|locale|SRID=4269;POINT(-148.38833 61.87556)
Ninemile Cabin|locale|SRID=4269;POINT(-151.62639 67.01694)
Ninemile Camp|locale|SRID=4269;POINT(-158.27889 64.60222)
Ninemile Creek|stream|SRID=4269;POINT(-134.57333 58.33806)
Ninemile Creek|stream|SRID=4269;POINT(-151.78333 67.00528)
Ninemile Creek|stream|SRID=4269;POINT(-148.20472 61.78722)
Ninemile Creek|stream|SRID=4269;POINT(-150.39667 62.18806)
Ninemile Creek|stream|SRID=4269;POINT(-142.58222 62.34667)
Ninemile Hills|range|SRID=4269;POINT(-151.64972 67.05722)
Ninemile Island|island|SRID=4269;POINT(-158.22667 64.6375)
Ninemile Island|island|SRID=4269;POINT(-155.20806 64.83444)
Ninemile Lake|lake|SRID=4269;POINT(-144.10746 65.73674)
Ninemile Lake|lake|SRID=4269;POINT(-146.661 66.18855)
Ninemile Lake|lake|SRID=4269;POINT(-147.25692 66.45198)
Ninemile Lake|lake|SRID=4269;POINT(-151.64401 67.02158)
Ninemile Lake|lake|SRID=4269;POINT(-145.04542 66.49709)
Ninemile Point|cape|SRID=4269;POINT(-155.31444 64.8125)
Ninemile Point|cape|SRID=4269;POINT(-153.79667 65.06861)
Ninemile River|stream|SRID=4269;POINT(-158.29889 64.62778)
Ninemile Slough|stream|SRID=4269;POINT(-158.28028 64.60583)
Ninemile Slough|stream|SRID=4269;POINT(-155.28306 64.81306)
Ninemile Slough|stream|SRID=4269;POINT(-144.00222 66.81694)
Nineteenmile|locale|SRID=4269;POINT(-150.42444 64.06639)
Ninety-two Hunter Creek|stream|SRID=4269;POINT(-149.90361 65.47361)
Ninetyeight Creek|stream|SRID=4269;POINT(-146.26111 64.5525)
Ninetyeight Pup|stream|SRID=4269;POINT(-145.78833 65.71444)
Ninetytwo Pup|stream|SRID=4269;POINT(-150.02583 65.35639)
Ningeehak Beach|beach|SRID=4269;POINT(-171.59417 63.6725)
Ninglick River|stream|SRID=4269;POINT(-165.01861 60.88833)
Ninngolik Valley|valley|SRID=4269;POINT(-151.94611 68.9875)
Ninuluk Bluff|cliff|SRID=4269;POINT(-153.2475 69.14694)
Ninuluk Creek|stream|SRID=4269;POINT(-152.86556 69.22861)
Nippon Creek|stream|SRID=4269;POINT(-159.71083 61.11389)
Nishlik Lake|lake|SRID=4269;POINT(-158.91597 60.46545)
Nisua River|stream|SRID=4269;POINT(-160.93972 58.88917)
Nilumat Creek|stream|SRID=4269;POINT(-166.05194 61.7675)
Niukluk River|stream|SRID=4269;POINT(-163.4425 64.80944)
Niviak Pass|gap|SRID=4269;POINT(-147.25278 69.09778)
Nixon Fork|stream|SRID=4269;POINT(-155.66611 63.03444)
Niyghapak Point|cape|SRID=4269;POINT(-168.72389 63.23222)
Niyiklik Creek|stream|SRID=4269;POINT(-165.67306 68.15889)
Niykhapakhit Lake|lake|SRID=4269;POINT(-169.72972 63.17861)
Niyrakpak Lagoon|lake|SRID=4269;POINT(-171.44778 63.625)
Nizina Glacier|glacier|SRID=4269;POINT(-142.45083 61.63111)
Nizina Mountain|summit|SRID=4269;POINT(-142.57833 61.61306)
Nizina River|stream|SRID=4269;POINT(-143.24333 61.34972)
No Creek|stream|SRID=4269;POINT(-153.89528 62.93889)
No Good Lake|lake|SRID=4269;POINT(-145.88167 63.13778)
No Grub Creek|stream|SRID=4269;POINT(-145.61167 64.66917)
No Lake Creek|stream|SRID=4269;POINT(-159.625 59.38444)
No Mans Creek|stream|SRID=4269;POINT(-164.17028 64.9125)
No Name Creek|stream|SRID=4269;POINT(-150.88083 63.51417)
No Name Creek|stream|SRID=4269;POINT(-146.50583 65.29028)
No Name Lake|lake|SRID=4269;POINT(-153.11489 63.3205)
No Use Ledge|cliff|SRID=4269;POINT(-135.135 58.22472)
Noah Lake|lake|SRID=4269;POINT(-145.41778 68.30167)
Nobhill Creek|stream|SRID=4269;POINT(-164.39444 64.69333)
Nochlega Point|cape|SRID=4269;POINT(-152.86167 57.99417)
Nododehon Lake|lake|SRID=4269;POINT(-155.91654 65.79245)
Nogadaneoda Lake|lake|SRID=4269;POINT(-157.15722 65.43306)
Nogahabara Sand Dunes|area|SRID=4269;POINT(-157.45944 65.68611)
Nogak Creek|stream|SRID=4269;POINT(-155.17972 68.7175)
Nogamut (historical)|locale|SRID=4269;POINT(-157.67444 61.01944)
Nogoyalna Slough|gut|SRID=4269;POINT(-155.83417 65.87056)
Lake Nogrilenten|lake|SRID=4269;POINT(-153.3548 66.39923)
Noisy Islands|island|SRID=4269;POINT(-153.55861 57.93139)
Noisy Mountain|summit|SRID=4269;POINT(-154.82028 58.26222)
Noisy Passage|channel|SRID=4269;POINT(-153.54139 57.93056)
Nokogamiut (historical)|populated place|SRID=4269;POINT(-164.55194 63.04556)
Nokogamiut Island|island|SRID=4269;POINT(-164.57611 63.04556)
Nokotlek Point|cape|SRID=4269;POINT(-161.01556 70.3275)
Nokotlek River|stream|SRID=4269;POINT(-160.98917 70.31917)
Nokrot (historical)|populated place|SRID=4269;POINT(-162.77639 63.21694)
Nolan Creek|stream|SRID=4269;POINT(-166.27694 64.935)
Nolitna Creek|stream|SRID=4269;POINT(-147.97 66.20111)
Nolitna Creek|stream|SRID=4269;POINT(-152.12417 66.23194)
Nullaq Lake|lake|SRID=4269;POINT(-159.99995 68.79332)
Nome|populated place|SRID=4269;POINT(-165.40639 64.50111)
Nome Creek|stream|SRID=4269;POINT(-147.13556 65.38833)
Nome River|stream|SRID=4269;POINT(-165.305 64.48278)
Nome Stake Creek|stream|SRID=4269;POINT(-142.53389 65.18889)
Nondalton|populated place|SRID=4269;POINT(-154.84583 59.97361)
Nonvianuk River|stream|SRID=4269;POINT(-155.84639 59.02222)
Noodor Dome|summit|SRID=4269;POINT(-147.92833 65.80806)
Noon Point|cape|SRID=4269;POINT(-135.53583 58.34139)
Noonuklook Mountain|summit|SRID=4269;POINT(-164.03111 68.89556)
Nooravloaksmiut Island|island|SRID=4269;POINT(-165.66806 60.20917)
Nora Creek|stream|SRID=4269;POINT(-142.80167 65.05528)
Norberg Creek|stream|SRID=4269;POINT(-164.82694 65.74583)
Nord Island|island|SRID=4269;POINT(-152.14694 58.96944)
Norris Glacier|glacier|SRID=4269;POINT(-134.18417 58.43889)
Norris Mountain|summit|SRID=4269;POINT(-134.13972 58.44694)
Norris-Taku Ridge|ridge|SRID=4269;POINT(-134.14944 58.49056)
Little Mountain Village (historical)|locale|SRID=4269;POINT(-158.5375 61.55944)
Kitluk River|stream|SRID=4269;POINT(-164.38833 66.5825)
Kitnagak Bay|bay|SRID=4269;POINT(-168.91639 63.33139)
Kitnagak Point|cape|SRID=4269;POINT(-168.94583 63.33222)
Kitnepaluk|locale|SRID=4269;POINT(-171.84 63.55444)
Kitnepaluk Creek|stream|SRID=4269;POINT(-171.80889 63.59306)
Kitnik Mountain|summit|SRID=4269;POINT(-165.34889 60.52)
Kitnik River|stream|SRID=4269;POINT(-170.41417 63.68611)
Kitoi Bay|bay|SRID=4269;POINT(-152.34917 58.19333)
Kittilngook Bay|bay|SRID=4269;POINT(-171.71333 63.785)
Kitty Lake|lake|SRID=4269;POINT(-151.50543 61.53497)
Kiugtlugtulit Mountain|summit|SRID=4269;POINT(-161.58944 59.32306)
Kiukpalik Island|island|SRID=4269;POINT(-153.55917 58.60306)
Kiveepuk Bay|bay|SRID=4269;POINT(-170.67083 63.65972)
Kividlo|locale|SRID=4269;POINT(-164.74611 66.53389)
Kiwalik Mountain|summit|SRID=4269;POINT(-162.19278 65.50028)
Kiwook Pass|gap|SRID=4269;POINT(-171.30667 63.56833)
Kiyakyaliksamiut|locale|SRID=4269;POINT(-167.04472 59.99667)
Kiyakyaliksamiut River|stream|SRID=4269;POINT(-167.04694 59.99278)
Kizhuyak Bay|bay|SRID=4269;POINT(-152.87389 57.81972)
Klak Creek|stream|SRID=4269;POINT(-160.75611 59.78583)
Klak Lake|lake|SRID=4269;POINT(-160.45712 59.72487)
Klalbaimunket Lake|lake|SRID=4269;POINT(-154.16237 66.10494)
Klaluthyiit Bluff|cliff|SRID=4269;POINT(-153.07472 66.46056)
Klanelneechena Creek|stream|SRID=4269;POINT(-146.495 61.73667)
Klatakhna Creek|stream|SRID=4269;POINT(-152.94722 65.71417)
Klatsuta River|stream|SRID=4269;POINT(-153.82056 65.04972)
Klawasi River|stream|SRID=4269;POINT(-145.29861 61.96639)
Klein Creek|stream|SRID=4269;POINT(-141.23472 61.98111)
Kletsan Creek|stream|SRID=4269;POINT(-141.02 61.73778)
Klikhtentotzna Creek|stream|SRID=4269;POINT(-154.75056 66.34778)
Klikhtentotzna Creek|stream|SRID=4269;POINT(-154.75278 66.34972)
Klikitarik|populated place|SRID=4269;POINT(-161.47111 63.46944)
Klikitarik Bay|bay|SRID=4269;POINT(-161.44 63.46389)
Klikitarik Mountain|summit|SRID=4269;POINT(-161.43917 63.41972)
Klikitarik River|stream|SRID=4269;POINT(-161.45583 63.45722)
Klim Creek|stream|SRID=4269;POINT(-159.8425 68.41)
Mount Kliskon|summit|SRID=4269;POINT(-151.72917 62.4075)
Klokerblok River|stream|SRID=4269;POINT(-163.39333 64.63444)
Klu River|stream|SRID=4269;POINT(-143.15639 61.20889)
Kluktak Creek|stream|SRID=4269;POINT(-161.74111 60.06056)
Klunathkada Hill|summit|SRID=4269;POINT(-141.94972 62.80306)
Klunistana Creek|stream|SRID=4269;POINT(-148.21667 63.34139)
Klutapuk Creek|stream|SRID=4269;POINT(-157.31556 60.33861)
Klutina Glacier|glacier|SRID=4269;POINT(-146.21472 61.36889)
Klutina Lake|lake|SRID=4269;POINT(-145.87408 61.73512)
Klutina Lake Trail|trail|SRID=4269;POINT(-145.54972 61.82972)
Klutina River|stream|SRID=4269;POINT(-145.28583 61.95528)
Klutlan Glacier|glacier|SRID=4269;POINT(-141.17917 61.45083)
Klutuk Creek|stream|SRID=4269;POINT(-157.48222 59.3425)
Klutuspak Creek|stream|SRID=4269;POINT(-157.36167 60.04889)
Kluvesna Glacier|glacier|SRID=4269;POINT(-143.81528 61.82444)
Kluvesna River|stream|SRID=4269;POINT(-144.01278 61.72222)
Klymunget Lake|lake|SRID=4269;POINT(-155.37705 65.66349)
Knee Bay|bay|SRID=4269;POINT(-152.42028 57.93361)
Knife Creek|stream|SRID=4269;POINT(-155.36583 58.37306)
Knife Peak|summit|SRID=4269;POINT(-159.09417 56.265)
Knifeblade Ridge|ridge|SRID=4269;POINT(-154.875 69.16056)
Knifeblade Test Wells|well|SRID=4269;POINT(-154.70806 69.13167)
Knight Mountain|summit|SRID=4269;POINT(-161.46472 59.03472)
Knik|populated place|SRID=4269;POINT(-149.72889 61.45778)
Knik Arm|bay|SRID=4269;POINT(-149.79944 61.36583)
Knik Glacier|glacier|SRID=4269;POINT(-148.29861 61.3675)
Knik Lake|lake|SRID=4269;POINT(-149.73138 61.46013)
Knik River|stream|SRID=4269;POINT(-149.40639 61.47083)
Knob Hill|summit|SRID=4269;POINT(-148.85694 61.76028)
Knob Lake|lake|SRID=4269;POINT(-147.34146 61.83374)
Knob Ridge|ridge|SRID=4269;POINT(-144.26306 63.58722)
Knockhock (historical)|populated place|SRID=4269;POINT(-164.91972 62.10917)
Knoll Bay|bay|SRID=4269;POINT(-153.58972 56.95056)
Knoll Point|cape|SRID=4269;POINT(-153.60028 56.93583)
Knox Peak|summit|SRID=4269;POINT(-153.32944 62.21917)
Knugormiut Summer Camp|locale|SRID=4269;POINT(-164.89222 60.445)
Knutson Bay|bay|SRID=4269;POINT(-154.19528 59.79861)
Knutson Creek|stream|SRID=4269;POINT(-154.1575 59.79833)
Knutson Mountain|summit|SRID=4269;POINT(-154.20611 59.82722)
Kobolunuk|locale|SRID=4269;POINT(-163.49778 62.085)
Kobuk Creek|stream|SRID=4269;POINT(-151.32722 65.61222)
Kobuk Lake|lake|SRID=4269;POINT(-148.18688 67.18254)
Kocacho Creek|stream|SRID=4269;POINT(-145.83694 66.835)
Kochilagok Hill|summit|SRID=4269;POINT(-164.36722 61.63611)
Kochluk Pass|stream|SRID=4269;POINT(-164.5525 63.14972)
Kodiak|populated place|SRID=4269;POINT(-152.40722 57.79)
Kodiak Fisheries Cannery|locale|SRID=4269;POINT(-152.895 57.34528)
Kodiak Island|island|SRID=4269;POINT(-153.48333 57.39611)
Kodiak Rock|bar|SRID=4269;POINT(-152.19944 57.80722)
Kodosin Minnkohwin Lake|lake|SRID=4269;POINT(-152.00167 66.37056)
Kodosin Nolitna Creek|stream|SRID=4269;POINT(-152.08028 66.17806)
Koduit Lake|lake|SRID=4269;POINT(-144.63159 66.59027)
Koepke Slough|stream|SRID=4269;POINT(-146.31944 64.53667)
Koggiling Creek|stream|SRID=4269;POINT(-157.61694 59.20722)
